gbifID	datasetKey	class	order	family	genus	specificEpithet	verbatimScientificName	vernacularName	name	decimalLatitude	decimalLongitude	locality	stateProvince	countryCode	year	month	day	institutionCode	collectionCode	basisOfRecord	recordedBy	individualCount
2059677372	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2017	6	3	CLO	EBIRD_BRA	HUMAN_OBSERVATION	obsr636436	7
2012954636	50c9509d-22c7-4a22-a47d-8c48425ef4a7	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.791443	-56.382229		San Pedro	PY	2015	4	15	iNaturalist	Observations	HUMAN_OBSERVATION	Rob Foster	--
2006044062	50c9509d-22c7-4a22-a47d-8c48425ef4a7	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-24.010973	-55.35438		Canindeyú	PY	2000	12	15	iNaturalist	Observations	HUMAN_OBSERVATION	Rob Pople	--
1791883200	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2005	10	8	CLO	EBIRD	HUMAN_OBSERVATION	obsr425850	1
1790194092	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7667	-56.2833	Laguna Blanca, San Pedro (Paraguay Central)	San Pedro	PY	2012	10	17	CLO	EBIRD	HUMAN_OBSERVATION	obsr43922	1
1790162626	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2012	8	18	CLO	EBIRD	HUMAN_OBSERVATION	obsr727692	2
1787663441	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-18.261	-52.8884	Parque Nacional das Emas	Goiás	BR	2009	9	21	CLO	EBIRD	HUMAN_OBSERVATION	obsr623670	6
1783526857	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.777	-56.3271	Agroflorestal Rio Verde	San Pedro	PY	2016	9	5	CLO	EBIRD	HUMAN_OBSERVATION	obsr458272	1
1783522098	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.777	-56.3271	Agroflorestal Rio Verde	San Pedro	PY	2016	12	28	CLO	EBIRD	HUMAN_OBSERVATION	obsr458272	1
1774118977	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	candicans	Eleothreptus candicans	White-winged Nightjar	Ecand	-23.7667	-56.2833	Laguna Blanca, San Pedro (Paraguay Central)	San Pedro	PY	2013	8	1	CLO	EBIRD	HUMAN_OBSERVATION	obsr461976	1
